FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,VESSEL_COUNT,BOAT_DAYS,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,STEELHEAD_KEPT,STEELHEAD_RELD,NOTES
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,2,19,145,0,0,700,0,2,0,"38,867",0,2,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,3,460,"3,968","131,511",0,"4,008","4,110","274,264","6,064","66,484","6,685","3,345",582,11,148,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,4,115,199,35,0,0,0,0,0,1,0,"1,760",0,0,25,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,6,196,"1,396",976,0,"1,363",7,"79,027","8,148","146,401",0,122,11,0,3,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,7,72,276,78,0,907,0,"1,244",0,"37,891",0,4,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,8,290,"2,189","1,089",0,"4,471",0,"24,033",0,"198,623",0,"6,179",0,0,0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,12,114,750,"28,984",28,11,"2,422","5,655",31,"84,446",0,11,79,0,28,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,13,73,370,"12,760",7,0,596,"3,244",200,"64,153",78,11,30,0,6,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,14,94,423,0,0,1,33,0,117,"29,741",1,2,0,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,16,47,89,"8,136",12,0,37,"2,520",2,293,51,0,6,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,17,30,60,0,0,0,6,0,0,"3,797",0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,21,67,745,0,1,0,828,0,1,"294,054",356,1,7,0,6,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,23,101,422,"10,609",59,452,31,0,1,"12,328",2,"10,433",11,1,19,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,25,68,622,2,2,"1,099",8,0,0,"109,745",1,"8,179",30,0,1,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,29,155,337,"3,375",10,0,511,"1,082",16,"56,898",121,139,97,0,28,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,1,1,7,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,2,20,85,0,0,"1,055",0,86,0,"17,820",0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,3,434,"3,487","210,859",0,0,"4,393","52,993","1,486","48,486","7,824","5,019",828,0,162,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,4,491,"6,376","711,818",0,0,"23,656","216,147","8,137","5,641","15,084","5,120",521,0,"3,906",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,5,24,123,"11,995",0,0,"2,003","11,296","2,105","1,896","1,354",37,15,0,20,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,6,41,234,277,1,0,872,"3,810",194,"45,302",0,74,8,0,5,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,7,29,60,14,0,338,0,652,0,"10,803","3,610",2,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,8,202,"1,624","1,189",0,"2,996",0,"9,696",0,"270,381",0,"5,222",0,0,0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,11,143,409,"47,920",15,1,569,"2,157",50,"1,840",16,12,113,0,48,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,12,277,"3,131","340,490",57,3,"4,873","19,054","1,170","94,900",190,72,705,1,177,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,13,114,821,"72,814",7,3,392,"2,039",20,"54,490",3,63,102,0,12,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,14,98,549,0,0,0,67,0,0,"80,534",61,0,3,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2006,21,96,"1,009",0,2,0,360,0,0,"229,243",181,0,13,0,9,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,23,90,333,"5,468",3,117,4,0,0,"18,269",1,"12,978",38,1,37,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,25,66,434,0,6,"1,259",6,0,274,"124,596",2,"4,846",166,0,19,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2006,29,353,"1,809","782,424",83,1,295,250,0,"163,757",188,"3,452",175,1,33,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,3,389,"2,541","107,144",0,"9,839",282,"97,095","1,699","12,542","1,660","3,822",682,0,231,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,4,419,"2,621","361,944",0,"5,003",158,"343,029","3,916",0,"2,684","5,186",168,0,933,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,5,10,17,"2,046",0,197,0,"2,468",810,0,701,4,0,0,1,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,6,20,77,395,0,103,13,"9,365","1,180","14,253",0,151,0,0,2,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,7,19,34,3,0,0,0,598,0,"5,357",0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,8,202,"1,349",373,0,0,0,"7,701",0,"190,867",0,"5,426",0,0,0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,12,90,498,0,9,0,357,21,1,"27,728",8,0,10,0,12,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,13,76,492,0,0,7,563,1,0,"59,967",6,0,19,0,2,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,14,94,449,0,0,3,30,0,0,"25,353",6,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,17,6,14,0,0,0,0,0,0,326,0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,18,32,65,0,0,0,4,0,0,"6,936",2,0,0,0,0,
