FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,VESSEL_COUNT,BOAT_DAYS,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,STEELHEAD_KEPT,STEELHEAD_RELD,NOTES
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,2,8,16,0,0,0,0,0,0,"65,700",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,3,53,436,"49,728",0,"43,744","2,488","2,225,237",0,"7,167","112,980",0,"2,262",0,308,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,5,12,31,0,"2,457",0,"1,248","191,219",0,0,530,0,14,0,15,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,6,84,589,"21,577",0,"35,949","1,675","4,510,843",0,"86,759","113,010",0,"4,901",0,299,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,7,17,32,0,0,801,0,"26,484",0,"31,071",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2005,8,43,222,0,0,"8,965",0,"583,141",0,"74,369",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2005,12,79,140,"22,047",12,72,"2,123","42,068",5,"207,367",1,0,117,0,16,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2005,13,103,231,"34,082",19,82,"2,032","51,743",2,"411,934",0,4,155,0,11,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2005,14,1,3,,,,,,,,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2005,21,60,207,0,1,9,"1,094",1,0,"385,487",0,0,29,0,1,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2005,23,6,10,0,"3,291","2,348",0,0,2,0,3,"4,751",16,0,12,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,2,5,10,0,0,0,0,"35,000",0,"19,600",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,3,46,236,"43,837",0,0,"8,950","137,836",0,"49,991","15,138",0,"1,201",0,187,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,4,74,682,"263,018",0,0,"22,832","155,288",0,0,"12,409",0,"2,640",0,"1,460",
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,5,5,5,367,0,0,116,"9,187",0,0,135,0,8,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,6,6,7,653,0,0,285,"5,974",0,980,"1,438",0,25,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,7,8,17,0,0,0,0,"5,638",0,"12,348",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2006,8,36,152,0,0,"1,648",0,"48,442",0,"86,944",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,12,126,322,"1,101,639",143,0,"2,370","9,344",29,"310,331",213,11,"2,112",0,19,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,13,104,228,"467,877",185,0,821,"8,193",3,"356,519",4,0,716,0,8,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,14,15,40,0,0,0,0,0,0,"3,386",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,21,64,148,0,0,0,327,0,0,"223,927",0,0,5,0,1,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2006,23,4,10,0,356,807,0,0,0,56,8,"2,131",6,0,14,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,3,77,717,"117,183","2,822","34,868",0,"2,919,472",0,"11,974","86,793",0,"4,862",0,662,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,4,45,136,"37,558","2,845","6,884",40,"459,349",0,0,"3,671",0,745,0,622,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,5,34,126,"5,160","1,826","4,937",122,"646,654",0,0,"3,938",0,350,0,114,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,6,68,266,"8,173",0,"18,804","4,563","1,760,144",0,0,"23,392",0,"1,720",0,77,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,7,4,9,0,2,0,109,"6,414",0,"1,448",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2007,8,28,118,0,0,0,0,"210,529",0,"60,408",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2007,12,56,77,0,12,0,354,12,21,"41,905",0,0,9,0,2,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2007,13,86,217,56,7,4,840,"40,664",9,"311,314",0,2,32,0,4,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2007,14,2,4,,,,,,,,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2007,23,7,18,0,15,"3,755",1,0,12,0,52,"4,041",57,0,11,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,2,3,8,0,0,8,0,0,0,"2,000",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,3,31,61,"5,173",0,0,"1,244","11,180",0,0,"6,250",0,161,0,30,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,4,43,275,"195,938",0,0,"4,498","91,767",90,0,"1,305",0,967,0,"1,835",
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,5,13,15,572,0,0,17,237,0,0,36,0,3,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,6,6,7,435,0,0,148,751,0,0,173,0,77,0,2,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2008,8,5,9,0,56,0,60,"5,231",0,"1,218",0,0,20,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,12,45,81,"1,039",1,2,253,"3,367",2,"55,896",0,0,81,0,1,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,13,71,177,0,1,4,453,25,10,"132,346",0,0,34,0,2,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,18,0,1,,,,,,,,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,20,6,12,"11,335",0,0,12,37,0,0,20,0,56,0,2,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,21,6,12,0,0,0,135,0,0,"18,796",0,0,13,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2008,23,3,10,0,4,"3,437",0,0,0,0,26,"3,409",0,0,34,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,2,1,9,,,,,,,,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,3,45,177,"13,532","2,096","1,951","5,271","880,233",0,0,"19,353",0,"1,348",0,87,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,4,21,49,0,"6,363",0,"5,422","341,403",0,0,"1,354",0,54,0,369,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,5,9,23,0,840,0,"2,199","131,704",0,0,635,0,62,0,54,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,6,61,639,"49,509",0,"15,914","51,695","6,636,072",0,350,"72,788",0,"3,208",0,154,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,7,1,1,,,,,,,,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2009,8,14,31,0,"1,459",0,"1,559","125,607",0,"7,188",0,0,566,0,32,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2009,12,72,241,13,"8,735",7,"18,388","1,022,056",53,"107,717",398,0,585,0,27,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2009,13,84,166,0,"2,366",0,"5,116","267,471",0,"210,593",89,0,137,0,19,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2009,14,3,4,0,0,0,4,0,0,"2,030",0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2009,23,6,11,"15,039","4,841",531,0,0,0,0,0,"2,598",0,0,2,
SALMON SEINE,IN-SEASON,AREA B - SALMON SEINE,2009,29,5,20,0,45,0,142,"88,177",0,0,8,0,91,0,1,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2010,1,5,10,0,0,0,0,"188,000",0,0,0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2010,2,7,15,0,0,0,0,"265,000",0,0,0,0,0,0,0,
SALMON SEINE,IN-SEASON,AREA A - SALMON SEINE,2010,3,16,26,"2,660",0,0,"1,042","26,976",0,0,"8,328",0,225,0,11,
