FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,BOAT_DAYS,SOCKEYE_KEPT,COHO_KEPT,PINK_KEPT,CHUM_KEPT,CHINOOK_KEPT,NOTES
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,1,81,38,625,"508,354",88,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,2,71,7,533,"20,343","86,375",2,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,3,"1,258","535,657","30,836","1,323,365","134,659","2,508",
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,4,"1,165","946,893","14,774","1,210,311","37,811","1,410",
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,5,403,"187,497","4,502","268,376","12,168",616,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,6,118,"16,347","10,650","498,146","29,121",408,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,7,93,374,"3,066","16,953","38,412",24,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1996,8,152,"4,903","10,923","349,933","63,939",285,
SALMON SEINE,POST-SEASON,AREA B- SALMON SEINE,1996,12,220,"24,855","2,052","40,457","39,424",117,
SALMON SEINE,POST-SEASON,AREA B- SALMON SEINE,1996,13,97,"30,197",444,"8,601","35,410",6,
SALMON SEINE,POST-SEASON,AREA B- SALMON SEINE,1996,20,171,"72,077","3,913",196,400,83,
SALMON SEINE,POST-SEASON,AREA B- SALMON SEINE,1996,21,269,0,24,0,"292,336",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,1,645,"251,233",355,"324,474","27,103",30,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,2,47,"50,701",578,"8,868","32,264",6,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,3,858,"331,560",717,"537,739","87,014","1,956",
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,4,278,"98,406",176,"209,653","4,389",83,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,5,24,"3,473",231,"18,419","1,380",61,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,6,47,"3,674","1,961","119,185","7,468",143,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,7,123,"1,002","3,619","25,262","34,827",101,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1997,8,138,"23,829","5,444","343,184","48,912",585,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1997,12,"1,524","2,440,005",974,"1,820,269","48,121",76,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1997,13,750,"1,312,525",27,"941,153","27,628",43,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1997,16,292,"149,956",0,"116,230",295,0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1997,20,509,"274,670",0,"284,783",527,0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1997,21,331,1,0,0,"825,661",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,1,19,"9,545",0,"68,485","1,071",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,2,190,32,0,"625,252","74,991",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,3,334,"23,430",3,"416,303","169,089",95,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,5,6,27,0,75,31,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,6,503,"15,420",0,"524,283","194,527",207,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,7,128,113,991,"6,712","71,730",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1998,8,594,"13,852",0,"477,591","341,421",247,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,12,299,"265,937",0,"33,280","406,046",53,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,13,317,"167,576",0,"10,971","908,369",20,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,14,205,0,0,0,"679,047",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,16,0,0,0,0,0,0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,21,406,0,0,0,"632,644",135,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,1998,25,5,0,0,0,"24,000",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,2,59,0,641,0,"184,718",4,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,3,"1,713","82,126",1,"5,051,892","115,041",11,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,4,50,"4,881",0,"302,855",0,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,5,11,0,0,"15,651",0,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,6,38,"1,397",0,"13,243","4,230",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,7,124,"4,980",458,"49,559","68,254",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,1999,8,196,"3,210",0,"117,337","43,983",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,1,1,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,2,15,11,7,"504,242","44,236",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,3,470,"114,108",0,"288,101","46,203",2,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,4,976,"683,357",0,"283,638","8,320",1,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,5,76,"11,478",0,"24,802","3,152",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,6,285,"10,524",0,"1,500,876","7,434",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,7,29,1,"1,184","1,416","16,125",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2000,8,26,593,0,"23,207","3,679",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2000,12,383,"141,292",284,"942,277","100,794",50,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2000,13,150,"122,818",0,"256,386","56,665",5,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2000,14,0,0,0,0,0,0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2000,16,40,"16,310",0,416,4,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,2,24,0,22,0,"30,851",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,3,388,"85,385",29,"1,195,609","24,337",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,4,631,"501,937",76,"987,253","8,201",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,5,90,"8,149",0,"232,162","1,999",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,6,292,"11,023",30,"1,631,902","21,448",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,7,123,84,"2,042","238,901","82,533",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2001,8,185,"1,051",66,"706,840","52,471",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,12,185,"13,210",0,"700,390","91,179",36,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,13,109,"15,732",0,"262,233","69,429",19,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,14,4,0,0,0,603,0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,18,26,0,0,0,"7,127",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,20,119,"45,924",27,"11,051",58,59,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2001,21,106,0,0,0,"65,256",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,2,38,0,0,"42,344","96,968",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,3,474,"56,564",0,"2,249,134","14,626",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,4,358,"53,830",0,"380,401","2,825",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,5,114,"4,877",0,"471,005",548,0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,6,192,"12,387",0,"492,205","76,417",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,7,123,163,923,"94,518","113,411",0,
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2002,8,268,"3,264",0,"1,003,175","118,386",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,12,230,"257,598",2,"59,555","162,623",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,13,188,"114,780",19,"11,092","314,995",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,14,87,0,0,0,"99,868",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,18,56,0,0,0,"221,969",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,19,17,0,0,0,"25,369",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,20,104,"262,864",0,227,6,2,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,21,207,2,0,1,"409,754",0,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,23,103,"237,517",0,0,0,1,
SALMON SEINE,POST-SEASON,AREA B - SALMON SEINE,2002,29,2,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
SALMON SEINE,POST-SEASON,AREA A - SALMON SEINE,2003,2,2,,,,,,CATCH FIGURES OMITTED DUE TO PRIVACY RESTRICTIONS.
