FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,BOAT_DAYS,SOCKEYE_KEPT,COHO_KEPT,PINK_KEPT,CHUM_KEPT,CHINOOK_KEPT,NOTES
SALMON TROLL,POST-SEASON,AREA H - SALMON TROLL,1996,12,54,"3,304",0,"1,377",5,0,
SALMON TROLL,POST-SEASON,AREA H - SALMON TROLL,1996,13,167,"27,138",0,"7,308",39,0,
SALMON TROLL,POST-SEASON,AREA H - SALMON TROLL,1996,16,5,225,0,0,0,0,
SALMON TROLL,POST-SEASON,AREA H - SALMON TROLL,1996,18,92,"5,094",3,3,0,0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,20,0,0,0,0,0,0,
SALMON TROLL,POST-SEASON,AREA H - SALMON TROLL,1996,20,4,0,720,0,0,0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,21,870,103,"66,701",60,327,0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,23,"5,294",440,"376,605",433,522,0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,24,"2,161",68,"111,998",276,"1,937",0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,25,992,14,"51,931",167,259,0,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,26,"1,582",72,"85,664",454,575,4,
SALMON TROLL,POST-SEASON,AREA G - SALMON TROLL,1996,27,"2,000",112,"99,906","12,852",972,0,
SALMON TROLL,POST-SEASON,AREA F - SALMON TROLL,1996,101,"5,655","18,650","250,909","710,615","22,445",8,
SALMON TROLL,POST-SEASON,AREA F - SALMON TROLL,1996,102,407,401,"16,634","5,843",408,0,
SALMON TROLL,POST-SEASON,AREA F - SALMON TROLL,1996,104,507,"3,167","26,227","28,500","1,458",0,
SALMON TROLL,POST-SEASON,AREA F - SALMON TROLL,1996,105,913,398,"27,979","11,916",544,0,
